,gameNameKr,gameName,streamerId,streamId,viewer,gameId,startDate,hour
57,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
58,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
59,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
60,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
61,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
62,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
63,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
64,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
65,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
66,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
67,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
68,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
69,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
70,토크/캠방,토크/캠방,901019s,232038952,1,00130000,2021-03-28 14:59:10.796026,16
71,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
72,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
73,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
74,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
75,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
76,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,16
77,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
78,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
79,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
80,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
81,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
82,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
83,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
84,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
85,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
86,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
87,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
88,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
89,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
90,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
91,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
92,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
93,토크/캠방,토크/캠방,901019s,232038952,0,00130000,2021-03-28 14:59:10.796026,17
