streamerId,rip,creatorId,ctr,viewer,peakview,airtime,contentsGraphData,content,timeGraphData,openHour,follower,impression,cost
137697282,0.86,137697282,3,41,103,5,"{""data"": [{""gameName"": ""섀도우버스"", ""percent"": 0.31}, {""gameName"": ""Uma Musume Pretty Derby"", ""percent"": 0.28}, {""gameName"": ""소통/대화"", ""percent"": 0.16}, {""gameName"": ""기타"", ""percent"": 0.25}]}",섀도우버스,"{""data"": [{""hours"": 6, ""sumtime"": 0.07}, {""hours"": 11, ""sumtime"": 0.04}, {""hours"": 12, ""sumtime"": 0.08}, {""hours"": 13, ""sumtime"": 0.09}, {""hours"": 14, ""sumtime"": 0.05}, {""hours"": 15, ""sumtime"": 0.05}, {""hours"": 18, ""sumtime"": 0.01}, {""hours"": 19, ""sumtime"": 0.04}, {""hours"": 20, ""sumtime"": 0.09}, {""hours"": 21, ""sumtime"": 0.26}, {""hours"": 22, ""sumtime"": 0.71}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.99}, {""hours"": 1, ""sumtime"": 0.99}, {""hours"": 2, ""sumtime"": 0.94}, {""hours"": 3, ""sumtime"": 0.89}, {""hours"": 4, ""sumtime"": 0.75}, {""hours"": 5, ""sumtime"": 0.32}]}","새벽, 저녁",9932,1058,423
138213347,1.0,138213347,2,3,5,2,"{""data"": [{""gameName"": ""오버워치"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",오버워치,"{""data"": [{""hours"": 16, ""sumtime"": 0.16}, {""hours"": 17, ""sumtime"": 0.68}, {""hours"": 20, ""sumtime"": 0.05}, {""hours"": 21, ""sumtime"": 1.0}, {""hours"": 22, ""sumtime"": 0.37}]}","저녁, 오후",749,36,36
138304290,0.98,138304290,0,1,3,2,"{""data"": [{""gameName"": ""리그 오브 레전드"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",리그 오브 레전드,"{""data"": [{""hours"": 1, ""sumtime"": 0.07}, {""hours"": 2, ""sumtime"": 0.79}, {""hours"": 3, ""sumtime"": 1.0}, {""hours"": 4, ""sumtime"": 0.11}]}",새벽,617,12,12
138306417,0.54,138306417,2,2,6,4,"{""data"": [{""gameName"": ""로스트아크 온라인"", ""percent"": 0.78}, {""gameName"": ""이스케이프 프롬 타르코프"", ""percent"": 0.16}, {""gameName"": ""기타"", ""percent"": 0.06}]}",로스트아크 온라인,"{""data"": [{""hours"": 11, ""sumtime"": 0.04}, {""hours"": 12, ""sumtime"": 0.06}, {""hours"": 13, ""sumtime"": 0.09}, {""hours"": 14, ""sumtime"": 0.17}, {""hours"": 15, ""sumtime"": 0.29}, {""hours"": 16, ""sumtime"": 0.5}, {""hours"": 17, ""sumtime"": 0.6}, {""hours"": 18, ""sumtime"": 0.61}, {""hours"": 19, ""sumtime"": 0.85}, {""hours"": 20, ""sumtime"": 0.88}, {""hours"": 21, ""sumtime"": 1.0}, {""hours"": 22, ""sumtime"": 0.98}, {""hours"": 23, ""sumtime"": 0.63}, {""hours"": 0, ""sumtime"": 0.15}]}","저녁, 오후",348,26,13
138322446,0.87,138322446,1,6,21,4,"{""data"": [{""gameName"": ""레인보우식스 : 시즈"", ""percent"": 0.28}, {""gameName"": ""리그 오브 레전드"", ""percent"": 0.26}, {""gameName"": ""데이 바이 데이라이트"", ""percent"": 0.13}, {""gameName"": ""기타"", ""percent"": 0.33}]}",레인보우식스 : 시즈,"{""data"": [{""hours"": 11, ""sumtime"": 0.04}, {""hours"": 12, ""sumtime"": 0.04}, {""hours"": 13, ""sumtime"": 0.04}, {""hours"": 14, ""sumtime"": 0.04}, {""hours"": 15, ""sumtime"": 0.04}, {""hours"": 16, ""sumtime"": 0.04}, {""hours"": 17, ""sumtime"": 0.06}, {""hours"": 18, ""sumtime"": 0.12}, {""hours"": 19, ""sumtime"": 0.11}, {""hours"": 20, ""sumtime"": 0.14}, {""hours"": 21, ""sumtime"": 0.99}, {""hours"": 22, ""sumtime"": 1.0}, {""hours"": 23, ""sumtime"": 0.97}, {""hours"": 0, ""sumtime"": 0.86}, {""hours"": 1, ""sumtime"": 0.62}, {""hours"": 2, ""sumtime"": 0.29}, {""hours"": 3, ""sumtime"": 0.16}, {""hours"": 4, ""sumtime"": 0.08}, {""hours"": 5, ""sumtime"": 0.02}]}","저녁, 새벽",671,125,63
138386672,0.83,138386672,2,2,7,3,"{""data"": [{""gameName"": ""리그 오브 레전드"", ""percent"": 0.71}, {""gameName"": ""영원회귀: 블랙서바이벌"", ""percent"": 0.14}, {""gameName"": ""기타"", ""percent"": 0.15}]}",리그 오브 레전드,"{""data"": [{""hours"": 19, ""sumtime"": 0.02}, {""hours"": 20, ""sumtime"": 0.25}, {""hours"": 21, ""sumtime"": 0.4}, {""hours"": 22, ""sumtime"": 0.77}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.77}, {""hours"": 1, ""sumtime"": 0.5}, {""hours"": 2, ""sumtime"": 0.3}, {""hours"": 3, ""sumtime"": 0.07}]}","저녁, 새벽",1024,30,20
138393010,0.88,138393010,2,11,37,7,"{""data"": [{""gameName"": ""로스트아크 온라인"", ""percent"": 0.99}, {""gameName"": ""기타"", ""percent"": 0.01}]}",로스트아크 온라인,"{""data"": [{""hours"": 6, ""sumtime"": 0.42}, {""hours"": 7, ""sumtime"": 0.37}, {""hours"": 8, ""sumtime"": 0.27}, {""hours"": 9, ""sumtime"": 0.1}, {""hours"": 10, ""sumtime"": 0.11}, {""hours"": 11, ""sumtime"": 0.09}, {""hours"": 12, ""sumtime"": 0.05}, {""hours"": 13, ""sumtime"": 0.08}, {""hours"": 14, ""sumtime"": 0.11}, {""hours"": 15, ""sumtime"": 0.16}, {""hours"": 16, ""sumtime"": 0.12}, {""hours"": 17, ""sumtime"": 0.14}, {""hours"": 18, ""sumtime"": 0.17}, {""hours"": 19, ""sumtime"": 0.21}, {""hours"": 20, ""sumtime"": 0.26}, {""hours"": 21, ""sumtime"": 0.37}, {""hours"": 22, ""sumtime"": 0.46}, {""hours"": 23, ""sumtime"": 0.77}, {""hours"": 0, ""sumtime"": 0.94}, {""hours"": 1, ""sumtime"": 1.0}, {""hours"": 2, ""sumtime"": 0.92}, {""hours"": 3, ""sumtime"": 0.72}, {""hours"": 4, ""sumtime"": 0.66}, {""hours"": 5, ""sumtime"": 0.5}]}","새벽, 저녁",1047,407,116
138531016,0.96,138531016,8,15,35,4,"{""data"": [{""gameName"": ""Retro"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",Retro,"{""data"": [{""hours"": 7, ""sumtime"": 0.05}, {""hours"": 8, ""sumtime"": 0.17}, {""hours"": 9, ""sumtime"": 0.17}, {""hours"": 10, ""sumtime"": 0.17}, {""hours"": 11, ""sumtime"": 0.17}, {""hours"": 12, ""sumtime"": 0.17}, {""hours"": 13, ""sumtime"": 0.12}, {""hours"": 18, ""sumtime"": 0.28}, {""hours"": 19, ""sumtime"": 0.87}, {""hours"": 20, ""sumtime"": 0.97}, {""hours"": 21, ""sumtime"": 0.52}, {""hours"": 22, ""sumtime"": 0.5}, {""hours"": 23, ""sumtime"": 0.87}, {""hours"": 0, ""sumtime"": 1.0}, {""hours"": 1, ""sumtime"": 0.9}, {""hours"": 2, ""sumtime"": 0.57}, {""hours"": 3, ""sumtime"": 0.26}]}","저녁, 새벽",392,346,173
138903575,0.79,138903575,6,2,6,3,"{""data"": [{""gameName"": ""Genshin Impact"", ""percent"": 0.56}, {""gameName"": ""소통/대화"", ""percent"": 0.15}, {""gameName"": ""서브노티카"", ""percent"": 0.14}, {""gameName"": ""기타"", ""percent"": 0.15}]}",Genshin Impact,"{""data"": [{""hours"": 6, ""sumtime"": 0.68}, {""hours"": 7, ""sumtime"": 0.34}, {""hours"": 8, ""sumtime"": 0.34}, {""hours"": 9, ""sumtime"": 0.34}, {""hours"": 10, ""sumtime"": 0.34}, {""hours"": 11, ""sumtime"": 0.34}, {""hours"": 12, ""sumtime"": 0.36}, {""hours"": 13, ""sumtime"": 0.51}, {""hours"": 14, ""sumtime"": 0.38}, {""hours"": 15, ""sumtime"": 0.34}, {""hours"": 16, ""sumtime"": 0.34}, {""hours"": 17, ""sumtime"": 0.32}, {""hours"": 18, ""sumtime"": 0.34}, {""hours"": 19, ""sumtime"": 0.58}, {""hours"": 20, ""sumtime"": 0.55}, {""hours"": 21, ""sumtime"": 0.68}, {""hours"": 22, ""sumtime"": 0.98}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.77}, {""hours"": 1, ""sumtime"": 0.66}, {""hours"": 2, ""sumtime"": 0.42}, {""hours"": 4, ""sumtime"": 0.06}, {""hours"": 5, ""sumtime"": 0.55}]}","저녁, 새벽",279,28,19
138964248,0.58,138964248,0,3,9,4,"{""data"": [{""gameName"": ""패스 오브 엑자일"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",패스 오브 엑자일,"{""data"": [{""hours"": 6, ""sumtime"": 0.46}, {""hours"": 7, ""sumtime"": 0.2}, {""hours"": 8, ""sumtime"": 0.13}, {""hours"": 0, ""sumtime"": 0.17}, {""hours"": 1, ""sumtime"": 0.3}, {""hours"": 2, ""sumtime"": 0.42}, {""hours"": 3, ""sumtime"": 0.89}, {""hours"": 4, ""sumtime"": 0.99}, {""hours"": 5, ""sumtime"": 1.0}]}","새벽, 오전",306,42,21
