streamerId,impression_time,creatorId
kdh89811,4.33,103915007
templar56,15.0,138964248
cickkr,21.5,232800590
luciddreamer,155.0,434891434
901019s,134.17,458563205
gur120,41.33,V2_gur120_1612974175679
lje941119,45.0,V2_lje941119_1616139695340
rheovk,138.5,V2_rkdhwlssh_1616449081415
smh1416,54.67,V2_smh1416_1615888066344
smji90,8.33,V2_smji90_1616467382437
vitnaforever,39.0,V2_soundloaded9_1615939237644
wemidas,61.83,V2_wemidas_1616649269234
yymabcd,99.67,V2_yymabcd_1616497433142
